Institute,Course,Quota,Candidate Category,Min_Rank,Max_Rank,Count,Percentile_40,Most_Probable_Round
"ACS Medical College and Hospital, Chennai, Periyar EVR High Raod, Velappanchavadi, Chennai-77, Tamil Nadu, 600077",MBBS,Non-Resident Indian,SC,835144,980679,2,615405.8,R3
"ACSR Govt Medical College, Nellore, OPP. TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE SPSR NELLORE DISTRICT, ANDHRA PRADESH, Andhra Pradesh, 524004",MBBS,All India,EWS,22080,24249,3,19436.2,R2
"ACSR Govt Medical College, Nellore, OPP. TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE SPSR NELLORE DISTRICT, ANDHRA PRADESH, Andhra Pradesh, 524004",MBBS,All India,General,6208,17480,7,19436.2,R1
"ACSR Govt Medical College, Nellore, OPP. TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE SPSR NELLORE DISTRICT, ANDHRA PRADESH, Andhra Pradesh, 524004",MBBS,All India,OBC,14528,20678,16,19436.2,R3
"ACSR Govt Medical College, Nellore, OPP. TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE SPSR NELLORE DISTRICT, ANDHRA PRADESH, Andhra Pradesh, 524004",MBBS,All India,SC,94175,121418,5,19436.2,R3
"ACSR Govt Medical College, Nellore, OPP. TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE SPSR NELLORE DISTRICT, ANDHRA PRADESH, Andhra Pradesh, 524004",MBBS,All India,SC PwD,945149,945149,1,19436.2,R3
"ACSR Govt Medical College, Nellore, OPP. TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE SPSR NELLORE DISTRICT, ANDHRA PRADESH, Andhra Pradesh, 524004",MBBS,All India,ST,94251,148849,3,19436.2,R1
"AGARTALA GOVT. DENTAL COLLEGE, AG ARTAL, IGM Hospital Complex, Agartala, West Tripura, PIN- 799001, Tripura, 799001",BDS,All India,EWS,29376,42035,2,27176.6,R2
"AGARTALA GOVT. DENTAL COLLEGE, AG ARTAL, IGM Hospital Complex, Agartala, West Tripura, PIN- 799001, Tripura, 799001",BDS,All India,General,20598,27089,3,27176.6,R1
"AGARTALA GOVT. DENTAL COLLEGE, AG ARTAL, IGM Hospital Complex, Agartala, West Tripura, PIN- 799001, Tripura, 799001",BDS,All India,OBC,25508,32358,8,27176.6,R2
"AGARTALA GOVT. DENTAL COLLEGE, AG ARTAL, IGM Hospital Complex, Agartala, West Tripura, PIN- 799001, Tripura, 799001",BDS,All India,SC,142722,165232,2,27176.6,R2
"AGARTALA GOVT. MEDICAL COLLEGE, AG ARTALA, Kunj aban, Agartala, Tripura West, Tripura, 799006",MBBS,All India,EWS,26818,28061,3,22133.6,R3
"AGARTALA GOVT. MEDICAL COLLEGE, AG ARTALA, Kunj aban, Agartala, Tripura West, Tripura, 799006",MBBS,All India,EWS PwD,1046405,1169378,2,22133.6,R1
"AGARTALA GOVT. MEDICAL COLLEGE, AG ARTALA, Kunj aban, Agartala, Tripura West, Tripura, 799006",MBBS,All India,General,14560,22112,9,22133.6,R1
"AGARTALA GOVT. MEDICAL COLLEGE, AG ARTALA, Kunj aban, Agartala, Tripura West, Tripura, 799006",MBBS,All India,General PwD,886313,886313,1,22133.6,R1
"AGARTALA GOVT. MEDICAL COLLEGE, AG ARTALA, Kunj aban, Agartala, Tripura West, Tripura, 799006",MBBS,All India,OBC,14404,24762,14,22133.6,R1
"AGARTALA GOVT. MEDICAL COLLEGE, AG ARTALA, Kunj aban, Agartala, Tripura West, Tripura, 799006",MBBS,All India,SC,69746,131710,7,22133.6,R3
"AGARTALA GOVT. MEDICAL COLLEGE, AG ARTALA, Kunj aban, Agartala, Tripura West, Tripura, 799006",MBBS,All India,ST,141000,159798,3,22133.6,R3
"AIIMS Bathinda, Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",MBBS,Open Seat Quota,EWS,1523,3603,11,1917.8000000000004,R1
"AIIMS Bathinda, Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",MBBS,Open Seat Quota,EWS PwD,161586,259018,2,1917.8000000000004,R1
"AIIMS Bathinda, Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",MBBS,Open Seat Quota,General,110,1609,35,1917.8000000000004,R1
"AIIMS Bathinda, Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",MBBS,Open Seat Quota,General PwD,197183,197183,1,1917.8000000000004,R1
"AIIMS Bathinda, Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",MBBS,Open Seat Quota,OBC,1177,2797,35,1917.8000000000004,R1
"AIIMS Bathinda, Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",MBBS,Open Seat Quota,OBC PwD,398725,398725,1,1917.8000000000004,R1
"AIIMS Bathinda, Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",MBBS,Open Seat Quota,SC,6786,16961,14,1917.8000000000004,R1
"AIIMS Bathinda, Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",MBBS,Open Seat Quota,SC PwD,302955,302955,1,1917.8000000000004,R1
"AIIMS Bathinda, Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",MBBS,Open Seat Quota,ST,20082,40833,6,1917.8000000000004,R1
"AIIMS Bathinda, Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",MBBS,Open Seat Quota,ST PwD,824563,824563,1,1917.8000000000004,R1
"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh, All India Institute of Medical Sciences AIIMS Bilaspur Kothipura BILASPUR Himachal Pradesh 174001, Himachal Pradesh, 174001",MBBS,Open Seat Quota,EWS,2792,4135,14,2565.8,R1
"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh, All India Institute of Medical Sciences AIIMS Bilaspur Kothipura BILASPUR Himachal Pradesh 174001, Himachal Pradesh, 174001",MBBS,Open Seat Quota,General,776,2401,35,2565.8,R1
"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh, All India Institute of Medical Sciences AIIMS Bilaspur Kothipura BILASPUR Himachal Pradesh 174001, Himachal Pradesh, 174001",MBBS,Open Seat Quota,General PwD,157706,203256,2,2565.8,R1
"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh, All India Institute of Medical Sciences AIIMS Bilaspur Kothipura BILASPUR Himachal Pradesh 174001, Himachal Pradesh, 174001",MBBS,Open Seat Quota,OBC,1277,3377,37,2565.8,R1
"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh, All India Institute of Medical Sciences AIIMS Bilaspur Kothipura BILASPUR Himachal Pradesh 174001, Himachal Pradesh, 174001",MBBS,Open Seat Quota,OBC PwD,388448,388448,1,2565.8,R1
"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh, All India Institute of Medical Sciences AIIMS Bilaspur Kothipura BILASPUR Himachal Pradesh 174001, Himachal Pradesh, 174001",MBBS,Open Seat Quota,SC,9075,23569,15,2565.8,R1
"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh, All India Institute of Medical Sciences AIIMS Bilaspur Kothipura BILASPUR Himachal Pradesh 174001, Himachal Pradesh, 174001",MBBS,Open Seat Quota,SC PwD,364418,364418,1,2565.8,R1
"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh, All India Institute of Medical Sciences AIIMS Bilaspur Kothipura BILASPUR Himachal Pradesh 174001, Himachal Pradesh, 174001",MBBS,Open Seat Quota,ST,28133,44528,8,2565.8,R1
"AIIMS Guwahati, PO- CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,Open Seat Quota,EWS,1222,5218,11,3699.8,R1
"AIIMS Guwahati, PO- CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,Open Seat Quota,EWS PwD,412043,412043,1,3699.8,R1
"AIIMS Guwahati, PO- CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,Open Seat Quota,General,1538,3784,43,3699.8,R1
"AIIMS Guwahati, PO- CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,Open Seat Quota,General PwD,28828,28828,1,3699.8,R1
"AIIMS Guwahati, PO- CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,Open Seat Quota,OBC,1751,4746,36,3699.8,R1
"AIIMS Guwahati, PO- CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,Open Seat Quota,OBC PwD,117767,349245,2,3699.8,R1
"AIIMS Guwahati, PO- CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,Open Seat Quota,SC,4439,30968,16,3699.8,R1
"AIIMS Guwahati, PO- CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,Open Seat Quota,SC PwD,611150,611150,1,3699.8,R1
"AIIMS Guwahati, PO- CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,Open Seat Quota,ST,16967,54623,7,3699.8,R1
"AIIMS Jammu, AIIMS, Vijaypur, Jammu, Jammu and Kashmir, Jammu And Kashmir, 184120",MBBS,Open Seat Quota,EWS,4152,5307,12,3859.8,R1
"AIIMS Jammu, AIIMS, Vijaypur, Jammu, Jammu and Kashmir, Jammu And Kashmir, 184120",MBBS,Open Seat Quota,EWS PwD,411550,411550,1,3859.8,R1
"AIIMS Jammu, AIIMS, Vijaypur, Jammu, Jammu and Kashmir, Jammu And Kashmir, 184120",MBBS,Open Seat Quota,General,1472,3787,41,3859.8,R1
"AIIMS Jammu, AIIMS, Vijaypur, Jammu, Jammu and Kashmir, Jammu And Kashmir, 184120",MBBS,Open Seat Quota,General PwD,261018,295188,2,3859.8,R1
"AIIMS Jammu, AIIMS, Vijaypur, Jammu, Jammu and Kashmir, Jammu And Kashmir, 184120",MBBS,Open Seat Quota,OBC,3434,4718,32,3859.8,R1
"AIIMS Jammu, AIIMS, Vijaypur, Jammu, Jammu and Kashmir, Jammu And Kashmir, 184120",MBBS,Open Seat Quota,OBC PwD,367916,627122,3,3859.8,R1
"AIIMS Jammu, AIIMS, Vijaypur, Jammu, Jammu and Kashmir, Jammu And Kashmir, 184120",MBBS,Open Seat Quota,SC,11343,31135,17,3859.8,R1
"AIIMS Jammu, AIIMS, Vijaypur, Jammu, Jammu and Kashmir, Jammu And Kashmir, 184120",MBBS,Open Seat Quota,SC PwD,414614,414614,1,3859.8,R2
"AIIMS Jammu, AIIMS, Vijaypur, Jammu, Jammu and Kashmir, Jammu And Kashmir, 184120",MBBS,Open Seat Quota,ST,22689,46129,7,3859.8,R1
"AIIMS Jammu, AIIMS, Vijaypur, Jammu, Jammu and Kashmir, Jammu And Kashmir, 184120",MBBS,Open Seat Quota,ST PwD,540974,540974,1,3859.8,R1
"AIIMS Mangalagiri, ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH, Andhra Pradesh, 522503",MBBS,Open Seat Quota,EWS,1303,3329,14,1927.0,R1
"AIIMS Mangalagiri, ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH, Andhra Pradesh, 522503",MBBS,Open Seat Quota,General,221,1930,48,1927.0,R1
"AIIMS Mangalagiri, ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH, Andhra Pradesh, 522503",MBBS,Open Seat Quota,General PwD,134684,134684,1,1927.0,R1
"AIIMS Mangalagiri, ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH, Andhra Pradesh, 522503",MBBS,Open Seat Quota,OBC,1550,3575,41,1927.0,R1
"AIIMS Mangalagiri, ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH, Andhra Pradesh, 522503",MBBS,Open Seat Quota,OBC PwD,13003,396672,4,1927.0,R1
"AIIMS Mangalagiri, ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH, Andhra Pradesh, 522503",MBBS,Open Seat Quota,SC,8988,23947,20,1927.0,R1
"AIIMS Mangalagiri, ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH, Andhra Pradesh, 522503",MBBS,Open Seat Quota,ST,25480,41495,9,1927.0,R1
"AIIMS Mangalagiri, ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH, Andhra Pradesh, 522503",MBBS,Open Seat Quota,ST PwD,385913,385913,1,1927.0,R1
"AIIMS Rajkot, Admission cell, Academic section, First floor, Academic block, Permanent Campus, AIIMS Rajkot, Khand, Gujarat, 360110",MBBS,Open Seat Quota,EWS,1292,3824,9,1886.6000000000001,R1
"AIIMS Rajkot, Admission cell, Academic section, First floor, Academic block, Permanent Campus, AIIMS Rajkot, Khand, Gujarat, 360110",MBBS,Open Seat Quota,General,875,2194,24,1886.6000000000001,R1
"AIIMS Rajkot, Admission cell, Academic section, First floor, Academic block, Permanent Campus, AIIMS Rajkot, Khand, Gujarat, 360110",MBBS,Open Seat Quota,General PwD,76369,76369,1,1886.6000000000001,R1
"AIIMS Rajkot, Admission cell, Academic section, First floor, Academic block, Permanent Campus, AIIMS Rajkot, Khand, Gujarat, 360110",MBBS,Open Seat Quota,OBC,1615,3121,14,1886.6000000000001,R1
"AIIMS Rajkot, Admission cell, Academic section, First floor, Academic block, Permanent Campus, AIIMS Rajkot, Khand, Gujarat, 360110",MBBS,Open Seat Quota,OBC PwD,234232,234232,1,1886.6000000000001,R1
"AIIMS Rajkot, Admission cell, Academic section, First floor, Academic block, Permanent Campus, AIIMS Rajkot, Khand, Gujarat, 360110",MBBS,Open Seat Quota,SC,12817,27209,10,1886.6000000000001,R1
"AIIMS Rajkot, Admission cell, Academic section, First floor, Academic block, Permanent Campus, AIIMS Rajkot, Khand, Gujarat, 360110",MBBS,Open Seat Quota,ST,15813,43288,5,1886.6000000000001,R1
"AIIMS, Bhubaneswar, AT - Sijua, POST - DUMUDUMA, BHUBANESWAR- 751019, Odisha, 751019",MBBS,Open Seat Quota,EWS,1198,1940,12,679.0000000000003,R1
"AIIMS, Bhubaneswar, AT - Sijua, POST - DUMUDUMA, BHUBANESWAR- 751019, Odisha, 751019",MBBS,Open Seat Quota,General,97,655,42,679.0000000000003,R1
"AIIMS, Bhubaneswar, AT - Sijua, POST - DUMUDUMA, BHUBANESWAR- 751019, Odisha, 751019",MBBS,Open Seat Quota,General PwD,57704,57704,1,679.0000000000003,R1
"AIIMS, Bhubaneswar, AT - Sijua, POST - DUMUDUMA, BHUBANESWAR- 751019, Odisha, 751019",MBBS,Open Seat Quota,OBC,206,1278,40,679.0000000000003,R1
"AIIMS, Bhubaneswar, AT - Sijua, POST - DUMUDUMA, BHUBANESWAR- 751019, Odisha, 751019",MBBS,Open Seat Quota,OBC PwD,29254,84392,2,679.0000000000003,R1
"AIIMS, Bhubaneswar, AT - Sijua, POST - DUMUDUMA, BHUBANESWAR- 751019, Odisha, 751019",MBBS,Open Seat Quota,SC,804,7879,18,679.0000000000003,R1
"AIIMS, Bhubaneswar, AT - Sijua, POST - DUMUDUMA, BHUBANESWAR- 751019, Odisha, 751019",MBBS,Open Seat Quota,SC PwD,390305,390305,1,679.0000000000003,R1
"AIIMS, Bhubaneswar, AT - Sijua, POST - DUMUDUMA, BHUBANESWAR- 751019, Odisha, 751019",MBBS,Open Seat Quota,ST,4619,24290,10,679.0000000000003,R1
"AIIMS, Bhubaneswar, AT - Sijua, POST - DUMUDUMA, BHUBANESWAR- 751019, Odisha, 751019",MBBS,Open Seat Quota,ST PwD,707212,707212,1,679.0000000000003,R1
"AIIMS, Bibi Nagar, Hyderabad, AIIMS Bibinagar (Hyderabad Metropolitan Region) Telangana 508126, Telangana, 508126",MBBS,Open Seat Quota,EWS,2134,4496,14,2605.4,R1
"AIIMS, Bibi Nagar, Hyderabad, AIIMS Bibinagar (Hyderabad Metropolitan Region) Telangana 508126, Telangana, 508126",MBBS,Open Seat Quota,GNYes,51386,51386,1,2605.4,R2
"AIIMS, Bibi Nagar, Hyderabad, AIIMS Bibinagar (Hyderabad Metropolitan Region) Telangana 508126, Telangana, 508126",MBBS,Open Seat Quota,General,1089,2588,41,2605.4,R1
"AIIMS, Bibi Nagar, Hyderabad, AIIMS Bibinagar (Hyderabad Metropolitan Region) Telangana 508126, Telangana, 508126",MBBS,Open Seat Quota,OBC,1984,4020,35,2605.4,R1
"AIIMS, Bibi Nagar, Hyderabad, AIIMS Bibinagar (Hyderabad Metropolitan Region) Telangana 508126, Telangana, 508126",MBBS,Open Seat Quota,OBC PwD,182428,338461,3,2605.4,R1
"AIIMS, Bibi Nagar, Hyderabad, AIIMS Bibinagar (Hyderabad Metropolitan Region) Telangana 508126, Telangana, 508126",MBBS,Open Seat Quota,SC,14894,23710,14,2605.4,R1
"AIIMS, Bibi Nagar, Hyderabad, AIIMS Bibinagar (Hyderabad Metropolitan Region) Telangana 508126, Telangana, 508126",MBBS,Open Seat Quota,SC PwD,676640,676640,1,2605.4,R1
"AIIMS, Bibi Nagar, Hyderabad, AIIMS Bibinagar (Hyderabad Metropolitan Region) Telangana 508126, Telangana, 508126",MBBS,Open Seat Quota,ST,30152,40731,7,2605.4,R1
"AIIMS, Bibi Nagar, Hyderabad, AIIMS Bibinagar (Hyderabad Metropolitan Region) Telangana 508126, Telangana, 508126",MBBS,Open Seat Quota,ST PwD,395767,395767,1,2605.4,R1
"AIIMS, Deogarh, AIIMS Deoghar Devipur, Jharkhand India, PIN - 814152, Jharkhand, 814152",MBBS,Open Seat Quota,EWS,4089,4828,17,3417.2,R1
"AIIMS, Deogarh, AIIMS Deoghar Devipur, Jharkhand India, PIN - 814152, Jharkhand, 814152",MBBS,Open Seat Quota,General,1604,3764,56,3417.2,R1
"AIIMS, Deogarh, AIIMS Deoghar Devipur, Jharkhand India, PIN - 814152, Jharkhand, 814152",MBBS,Open Seat Quota,General PwD,303671,332094,2,3417.2,R1
"AIIMS, Deogarh, AIIMS Deoghar Devipur, Jharkhand India, PIN - 814152, Jharkhand, 814152",MBBS,Open Seat Quota,OBC,2773,4181,40,3417.2,R1
"AIIMS, Deogarh, AIIMS Deoghar Devipur, Jharkhand India, PIN - 814152, Jharkhand, 814152",MBBS,Open Seat Quota,OBC PwD,167550,266962,3,3417.2,R1
"AIIMS, Deogarh, AIIMS Deoghar Devipur, Jharkhand India, PIN - 814152, Jharkhand, 814152",MBBS,Open Seat Quota,SC,21622,34078,21,3417.2,R1
"AIIMS, Deogarh, AIIMS Deoghar Devipur, Jharkhand India, PIN - 814152, Jharkhand, 814152",MBBS,Open Seat Quota,SC PwD,564596,564596,1,3417.2,R1
"AIIMS, Deogarh, AIIMS Deoghar Devipur, Jharkhand India, PIN - 814152, Jharkhand, 814152",MBBS,Open Seat Quota,ST,51693,61493,9,3417.2,R2
"AIIMS, Gorakhpur, AIIMS Gorakhpur, Medical College Building, Kunraghat, Gorakhpur, Uttar Pradesh, 273008",MBBS,Open Seat Quota,EWS,1356,3254,14,2307.2,R1
"AIIMS, Gorakhpur, AIIMS Gorakhpur, Medical College Building, Kunraghat, Gorakhpur, Uttar Pradesh, 273008",MBBS,Open Seat Quota,EWS PwD,345066,345066,1,2307.2,R1
"AIIMS, Gorakhpur, AIIMS Gorakhpur, Medical College Building, Kunraghat, Gorakhpur, Uttar Pradesh, 273008",MBBS,Open Seat Quota,GNYes,114323,114323,1,2307.2,R2
"AIIMS, Gorakhpur, AIIMS Gorakhpur, Medical College Building, Kunraghat, Gorakhpur, Uttar Pradesh, 273008",MBBS,Open Seat Quota,General,1312,2448,44,2307.2,R1
"AIIMS, Gorakhpur, AIIMS Gorakhpur, Medical College Building, Kunraghat, Gorakhpur, Uttar Pradesh, 273008",MBBS,Open Seat Quota,OBC,1835,2749,47,2307.2,R1
"AIIMS, Gorakhpur, AIIMS Gorakhpur, Medical College Building, Kunraghat, Gorakhpur, Uttar Pradesh, 273008",MBBS,Open Seat Quota,OBC PwD,244764,296509,4,2307.2,R1
"AIIMS, Gorakhpur, AIIMS Gorakhpur, Medical College Building, Kunraghat, Gorakhpur, Uttar Pradesh, 273008",MBBS,Open Seat Quota,SC,11730,22145,22,2307.2,R1
"AIIMS, Gorakhpur, AIIMS Gorakhpur, Medical College Building, Kunraghat, Gorakhpur, Uttar Pradesh, 273008",MBBS,Open Seat Quota,SC PwD,247138,247138,1,2307.2,R2
"AIIMS, Gorakhpur, AIIMS Gorakhpur, Medical College Building, Kunraghat, Gorakhpur, Uttar Pradesh, 273008",MBBS,Open Seat Quota,ST,23952,47073,10,2307.2,R1
"AIIMS, Jodhpur, BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",MBBS,Open Seat Quota,EWS,226,805,16,400.40000000000003,R1
"AIIMS, Jodhpur, BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",MBBS,Open Seat Quota,General,56,374,37,400.40000000000003,R1
"AIIMS, Jodhpur, BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",MBBS,Open Seat Quota,General PwD,33333,33333,1,400.40000000000003,R1
"AIIMS, Jodhpur, BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",MBBS,Open Seat Quota,OBC,198,695,40,400.40000000000003,R1
"AIIMS, Jodhpur, BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",MBBS,Open Seat Quota,OBC PwD,92797,177218,3,400.40000000000003,R1
"AIIMS, Jodhpur, BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",MBBS,Open Seat Quota,SC,1257,4912,17,400.40000000000003,R1
"AIIMS, Jodhpur, BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",MBBS,Open Seat Quota,SC PwD,353229,353229,1,400.40000000000003,R1
"AIIMS, Jodhpur, BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",MBBS,Open Seat Quota,ST,1763,10281,10,400.40000000000003,R1
"AIIMS, Kalyani, NH- 34 Connector, Basantapur, Saguna, Kalyani, 741245, West Bengal, India, West Bengal, 741245",MBBS,Open Seat Quota,EWS,2323,4033,11,2293.8,R1
"AIIMS, Kalyani, NH- 34 Connector, Basantapur, Saguna, Kalyani, 741245, West Bengal, India, West Bengal, 741245",MBBS,Open Seat Quota,EWS PwD,499636,499636,1,2293.8,R2
"AIIMS, Kalyani, NH- 34 Connector, Basantapur, Saguna, Kalyani, 741245, West Bengal, India, West Bengal, 741245",MBBS,Open Seat Quota,General,220,2435,49,2293.8,R1
"AIIMS, Kalyani, NH- 34 Connector, Basantapur, Saguna, Kalyani, 741245, West Bengal, India, West Bengal, 741245",MBBS,Open Seat Quota,General PwD,205767,205767,1,2293.8,R1
"AIIMS, Kalyani, NH- 34 Connector, Basantapur, Saguna, Kalyani, 741245, West Bengal, India, West Bengal, 741245",MBBS,Open Seat Quota,OBC,1950,3445,34,2293.8,R1
"AIIMS, Kalyani, NH- 34 Connector, Basantapur, Saguna, Kalyani, 741245, West Bengal, India, West Bengal, 741245",MBBS,Open Seat Quota,OBC PwD,244279,314536,4,2293.8,R1
"AIIMS, Kalyani, NH- 34 Connector, Basantapur, Saguna, Kalyani, 741245, West Bengal, India, West Bengal, 741245",MBBS,Open Seat Quota,SC,9167,20728,19,2293.8,R1
"AIIMS, Kalyani, NH- 34 Connector, Basantapur, Saguna, Kalyani, 741245, West Bengal, India, West Bengal, 741245",MBBS,Open Seat Quota,SC PwD,494797,494797,1,2293.8,R1
"AIIMS, Kalyani, NH- 34 Connector, Basantapur, Saguna, Kalyani, 741245, West Bengal, India, West Bengal, 741245",MBBS,Open Seat Quota,ST,41761,56211,11,2293.8,R1
"AIIMS, Kalyani, NH- 34 Connector, Basantapur, Saguna, Kalyani, 741245, West Bengal, India, West Bengal, 741245",MBBS,Open Seat Quota,ST PwD,716131,716131,1,2293.8,R1
"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008",MBBS,Open Seat Quota,EWS,5212,10757,12,6228.6,R2
"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008",MBBS,Open Seat Quota,EWS PwD,290369,290369,1,6228.6,R1
"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008",MBBS,Open Seat Quota,GNYes,399462,605872,2,6228.6,R2
"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008",MBBS,Open Seat Quota,General,3195,8765,22,6228.6,R3
"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008",MBBS,Open Seat Quota,OBC,3049,9299,41,6228.6,R2
